trade_id,entry_idx,exit_idx,side,entry,exit,exit_reason,pnl,r_multiple,equity_after,prob
45,73080,73085,SHORT,90633.0025859375,91494.01611050392,SL,-59.09160925402185,-1.0,9279.91710226168,0.663916794267444
46,73631,73642,LONG,95356.59875625,94450.71106806562,SL,-60.56384079841115,-1.0,9219.353261463268,0.6800729681877395
47,74924,74936,SHORT,78516.3638984375,78930.0,TIME_DECAY_SL,-34.9420114498332,-0.5950384226570272,9184.411250013434,0.6673964605091475
48,74958,74979,SHORT,78550.48988437501,78093.42422136031,DECAY_TP,37.961194844642,0.4659090909090786,9222.372444858076,0.8363368805650622
49,74986,74991,SHORT,78407.8387328125,77662.96426485077,SL,64.63248565304444,0.8181818181818192,9287.00493051112,0.8183008616798857
50,75075,75082,SHORT,76020.7928,75840.24341709999,SL,7.829035555067228,0.13636363636364132,9294.833966066188,0.6515992853810033
51,75376,75400,SHORT,69245.4996921875,69220.5234375,TIMEOUT,-3.1905114377899455,-0.05639316959255944,9291.643454628398,0.6432532252691786
52,75406,75410,SHORT,69375.6142890625,70034.6826248086,SL,-70.71414303813633,-1.0,9220.929311590262,0.7582495823159812
53,75416,75422,SHORT,70117.24718281251,70783.36103104924,SL,-71.58750415940035,-1.0,9149.341807430861,0.7683136951286353
54,75428,75430,SHORT,70742.56740624999,71414.62179660937,SL,-87.28017523640091,-1.0,9062.06163219446,0.8741898646344308
55,75436,75449,SHORT,71128.4199078125,70959.48991053144,SL,11.458824393660148,0.13636363636363655,9073.52045658812,0.859324672781742
56,75455,75469,SHORT,71187.25188906249,71366.0,TIME_DECAY_SL,-27.590649945819276,-0.3311920338863071,9045.9298066423,0.854150667989227
57,75477,75487,SHORT,70488.26671406251,71354.68364521486,SL,-63.30537458053895,-1.0,8982.62443206176,0.7104656072649502
58,75532,75540,SHORT,69162.64126718749,70049.61129892577,SL,-57.19575897352986,-1.0,8925.42867308823,0.66006047388287
59,75578,75583,SHORT,70341.0774078125,69405.54107828859,TP,61.98459035512021,1.181818181818179,8987.41326344335,0.6238742237944048
60,75604,75623,SHORT,69057.37326250001,68893.36200100157,SL,7.634058639804334,0.13636363636363738,8995.047322083154,0.6556341216945611
61,75629,75630,SHORT,68446.70635781251,69251.69079384767,SL,-61.568992281909175,-1.0,8933.478329801244,0.6998266085500366
62,75636,75655,SHORT,69474.0789671875,68611.57078550957,DECAY_TP,66.05069783836909,0.7966322248050033,8999.529027639614,0.8563721449717712
63,75661,75673,SHORT,68693.4382515625,68941.40625,TIME_DECAY_SL,-28.196891581681392,-0.43634230359661197,8971.332136057932,0.7288590578751994
64,75679,75682,SHORT,68274.5220515625,68112.37006169003,SL,7.635150510984409,0.13636363636364204,8978.967286568917,0.6566612853763871
65,75719,75719,SHORT,67009.16579843749,67645.75287352265,SL,-54.066901968869324,-1.0,8924.900384600049,0.6373852752903815
66,75728,75740,SHORT,66746.47615937499,67275.34375,TIME_DECAY_SL,-28.342418051003786,-0.48363783612333194,8896.557966549044,0.6712794298848812
