coin,entry,exit,pos_usd,raw_ret,pnl,reason
SOL,111.72254946428644,109.52,117.41715745397211,-0.019714457599184332,-2.397007582260864,TRAILING_EMA20
NEAR,3.444888144416158,3.250231001559015,79.55380464613138,-0.0565060851606064,-4.550961723436837,SL_WIDE
NEAR,3.4310636816370645,3.333,64.77606647503856,-0.028581131315602692,-1.8967165085638134,TRAILING_EMA20
NEAR,4.096996952476653,3.79523980961951,59.23165295605102,-0.07365325050455052,-4.404065930039862,SL_WIDE
NEAR,4.097759147478876,4.26,51.77205732840451,0.03959257893937984,2.013548826499071,TRAILING_EMA20
SOL,127.01698189882714,118.23825332739857,63.1213005339555,-0.06911460530861213,-4.406788683344391,SL_WIDE
NEAR,5.08588648153063,7.493,32.53626526882968,0.4732928128086993,15.37640512168621,TRAILING_EMA20
SOL,186.95257558443794,181.234,83.24846432663784,-0.030588375509462362,-2.6047092124379265,TRAILING_EMA20
NEAR,7.375720389242791,7.244,54.610123914873824,-0.017858647330896704,-1.0134900304327112,TRAILING_EMA20
NEAR,7.372388185817072,7.342,53.093094077111814,-0.004121891719637394,-0.2560091507003546,TRAILING_EMA20
NEAR,7.1782741666941945,6.857745595265623,99.28151109186648,-0.04465259531542587,-4.502674194853385,SL_WIDE
SOL,194.17798780382992,188.217,109.5831089652925,-0.03069857645168339,-3.4407536246598878,TRAILING_EMA20
NEAR,6.948182175240301,6.941,67.5365186908465,-0.0010336768753551606,-0.11708650069631218,TRAILING_EMA20
NEAR,6.946744578336381,7.019,76.34106582464474,0.010401335596669226,0.7406102993722946,TRAILING_EMA20
SOL,153.2288101528374,149.775,91.70949468934118,-0.022540213876179105,-2.1313482710566007,TRAILING_EMA20
SOL,149.72384691365198,149.47,86.46214891677363,-0.0016954340867182394,-0.20711437872614805,TRAILING_EMA20
NEAR,7.235969454579536,7.102,55.611200220378386,-0.018514375360546675,-1.0685344752848662,TRAILING_EMA20
SOL,149.5520787660507,145.348,82.38358390737106,-0.02811113560398759,-2.3735646074977574,TRAILING_EMA20
NEAR,7.225124345434937,7.207,71.2605276365203,-0.0025085167491115667,-0.22864059647230306,TRAILING_EMA20
SOL,148.66900703067336,147.091,86.77725446162768,-0.010614229974292955,-0.9818178135165948,TRAILING_EMA20
NEAR,7.891512747815321,7.876,77.73213215432422,-0.0019657508403082558,-0.20721449660934219,TRAILING_EMA20
SOL,167.32418601748742,175.344,100.1162805780045,0.047929795287779964,4.728471436673094,TRAILING_EMA20
SOL,176.828089813497,177.03,81.24251534194761,0.0011418445266018207,0.035896560731203994,TRAILING_EMA20
NEAR,7.900546474442838,7.676,69.06727890604004,-0.028421638322009057,-2.0113523161870237,TRAILING_EMA20
NEAR,7.865174200216329,7.935,63.24935233996368,0.008877845297024622,0.5172434185732253,TRAILING_EMA20
NEAR,7.996024715172707,7.815,98.77551573509764,-0.02263933912425342,-2.305355258914474,TRAILING_EMA20
SOL,170.76622901444108,170.271,166.8363637514667,-0.0029000407006657403,-0.6006176998563545,TRAILING_EMA20
SOL,170.7689589472035,170.219,153.17826693595308,-0.003220485447671617,-0.6005331664219625,TRAILING_EMA20
